timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258580709,-268,191,207,62,-496,851,467,3235,-4981
1665258580711,-268,191,207,62,-497,855,426,3266,-4955
1665258580711,-268,191,207,61,-497,855,426,3266,-4955
1665258580727,-268,192,208,62,-499,856,426,3266,-4955
1665258580728,-268,192,208,62,-499,856,426,3266,-4955
1665258580728,-268,192,208,69,-504,858,426,3266,-4955
1665258580729,-268,192,208,69,-504,858,426,3266,-4955
1665258580745,-269,192,207,65,-501,869,426,3266,-4955
1665258580747,-269,192,207,65,-501,869,426,3266,-4955
1665258580747,-269,192,207,65,-500,882,426,3266,-4955
1665258580763,-269,192,207,68,-487,891,426,3266,-4955
1665258580765,-267,192,208,68,-487,891,426,3266,-4955
1665258580765,-267,192,208,62,-474,891,426,3266,-4955
1665258580785,-267,192,208,62,-474,891,426,3266,-4955
1665258580788,-265,189,208,64,-493,878,426,3266,-4955
1665258580788,-265,189,208,64,-493,878,426,3266,-4955
1665258580788,-265,189,208,65,-499,861,426,3266,-4955
1665258580788,-265,189,208,65,-499,861,426,3266,-4955
1665258580812,-268,192,208,59,-493,851,426,3266,-4955
1665258580814,-268,192,208,61,-496,844,426,3266,-4955
1665258580814,-268,192,208,61,-496,844,431,3235,-4894
1665258580814,-268,191,208,65,-500,851,431,3235,-4894
1665258580815,-268,191,208,65,-500,851,431,3235,-4894
1665258580830,-268,191,208,62,-498,860,431,3235,-4894
1665258580832,-268,191,208,62,-498,860,431,3235,-4894
1665258580832,-268,191,207,65,-501,869,431,3235,-4894
1665258580846,-268,191,207,65,-501,872,431,3235,-4894
1665258580847,-268,191,207,66,-501,872,431,3235,-4894
1665258580847,-268,190,208,66,-497,868,431,3235,-4894
1665258580865,-267,190,208,66,-497,868,431,3235,-4894
1665258580867,-267,190,208,63,-490,870,431,3235,-4894
1665258580867,-267,190,208,63,-490,870,431,3235,-4894
1665258580887,-269,192,207,65,-494,875,431,3235,-4894
1665258580889,-269,192,207,65,-494,875,431,3235,-4894
1665258580889,-269,192,207,64,-490,880,431,3235,-4894
1665258580889,-269,192,207,64,-485,885,431,3235,-4894
1665258580911,-267,191,208,65,-485,885,431,3235,-4894
1665258580914,-267,191,208,61,-483,891,431,3235,-4894
1665258580914,-267,191,208,61,-483,891,442,3238,-4991
1665258580914,-267,191,207,61,-484,885,442,3238,-4991
1665258580914,-267,191,207,61,-484,885,442,3238,-4991
1665258580931,-267,191,207,61,-489,882,442,3238,-4991
1665258580932,-267,191,207,61,-489,882,442,3238,-4991
1665258580932,-267,192,207,61,-492,886,442,3238,-4991
1665258580946,-267,192,207,63,-482,895,442,3238,-4991
1665258580948,-267,192,207,63,-482,895,442,3238,-4991
1665258580948,-268,193,207,60,-478,903,442,3238,-4991
1665258580968,-268,193,207,60,-478,903,442,3238,-4991
1665258580970,-268,193,207,61,-483,914,442,3238,-4991
1665258580970,-268,193,207,61,-483,914,442,3238,-4991
1665258580970,-267,193,208,62,-475,931,442,3238,-4991
1665258580989,-267,193,208,62,-475,931,442,3238,-4991
1665258580992,-267,193,208,62,-472,944,442,3238,-4991
1665258580992,-267,193,208,62,-468,956,442,3238,-4991
