timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258260587,3,-2,263,186,-778,-160,3459,2151,-4963
1665258260588,3,-2,263,186,-778,-160,3459,2151,-4963
1665258260588,3,-2,263,184,-777,-159,3459,2151,-4963
1665258260588,3,-2,263,184,-777,-159,3459,2151,-4963
1665258260611,2,-2,263,189,-779,-162,3459,2151,-4963
1665258260613,2,-2,263,182,-768,-159,3459,2151,-4963
1665258260613,2,-2,263,182,-768,-159,3459,2151,-4963
1665258260613,3,-3,265,186,-775,-163,3459,2151,-4963
1665258260637,3,-3,265,186,-775,-163,3459,2151,-4963
1665258260639,3,-3,265,183,-775,-160,3459,2151,-4963
1665258260639,3,-3,265,183,-775,-160,3459,2151,-4963
1665258260640,3,-3,263,185,-779,-160,3459,2151,-4963
1665258260640,3,-3,263,185,-779,-160,3459,2151,-4963
1665258260656,3,-3,263,184,-779,-160,3453,2077,-4995
1665258260657,3,-3,263,182,-774,-158,3453,2077,-4995
1665258260658,4,-2,263,182,-774,-158,3453,2077,-4995
1665258260658,4,-2,263,187,-777,-159,3453,2077,-4995
1665258260679,4,-2,263,187,-777,-159,3453,2077,-4995
1665258260681,2,-2,263,185,-775,-160,3453,2077,-4995
1665258260681,2,-2,263,185,-775,-160,3453,2077,-4995
1665258260681,2,-2,263,187,-776,-162,3453,2077,-4995
1665258260705,2,-2,263,187,-776,-162,3453,2077,-4995
1665258260708,2,-3,264,185,-773,-159,3453,2077,-4995
1665258260708,2,-3,264,185,-774,-160,3453,2077,-4995
1665258260708,2,-3,264,185,-774,-160,3453,2077,-4995
1665258260708,3,-2,262,187,-778,-162,3453,2077,-4995
1665258260734,3,-2,262,187,-778,-162,3453,2077,-4995
1665258260736,3,-2,262,186,-777,-160,3453,2077,-4995
1665258260736,3,-2,262,186,-777,-160,3453,2077,-4995
1665258260737,2,-2,264,190,-781,-162,3453,2077,-4995
1665258260737,2,-2,264,190,-774,-158,3453,2077,-4995
1665258260754,2,-2,264,185,-774,-158,3453,2077,-4995
1665258260756,2,-3,263,189,-777,-158,3437,2136,-4963
1665258260756,2,-3,263,189,-777,-158,3437,2136,-4963
1665258260772,2,-3,263,189,-777,-156,3437,2136,-4963
1665258260774,2,-3,263,189,-777,-156,3437,2136,-4963
1665258260774,3,-2,262,187,-776,-153,3437,2136,-4963
1665258260774,3,-2,262,187,-776,-153,3437,2136,-4963
1665258260792,3,-2,262,189,-778,-157,3437,2136,-4963
1665258260793,3,-2,262,184,-773,-158,3437,2136,-4963
1665258260793,3,-4,263,184,-773,-158,3437,2136,-4963
1665258260812,3,-4,263,184,-774,-164,3437,2136,-4963
1665258260815,3,-4,263,184,-774,-164,3437,2136,-4963
1665258260815,2,-3,263,185,-775,-163,3437,2136,-4963
1665258260815,2,-3,263,185,-775,-163,3437,2136,-4963
1665258260832,2,-3,263,186,-776,-165,3437,2136,-4963
1665258260834,2,-3,263,186,-776,-165,3437,2136,-4963
1665258260834,2,-2,263,185,-778,-164,3437,2136,-4963
1665258260834,2,-2,263,186,-777,-163,3437,2136,-4963
1665258260846,2,-2,263,186,-777,-163,3437,2136,-4963
1665258260848,2,-3,263,185,-777,-163,3460,2117,-4968
1665258260862,2,-3,263,185,-777,-163,3460,2117,-4968
1665258260864,2,-3,263,182,-770,-161,3460,2117,-4968
1665258260864,2,-3,263,182,-770,-161,3460,2117,-4968
1665258260886,3,-2,264,185,-773,-162,3460,2117,-4968
1665258260888,3,-2,264,185,-773,-162,3460,2117,-4968
1665258260888,3,-2,264,186,-774,-162,3460,2117,-4968
1665258260888,3,-2,263,185,-772,-163,3460,2117,-4968
1665258260888,1,-2,263,185,-772,-163,3460,2117,-4968
1665258260909,1,-2,263,188,-776,-165,3460,2117,-4968
1665258260911,1,-2,263,188,-776,-165,3460,2117,-4968
1665258260911,3,-3,263,182,-771,-161,3460,2117,-4968
1665258260911,3,-3,263,182,-771,-161,3460,2117,-4968
1665258260929,3,-3,263,188,-776,-163,3460,2117,-4968
1665258260930,3,-3,263,188,-770,-161,3460,2117,-4968
1665258260930,2,-2,263,184,-770,-161,3460,2117,-4968
1665258260930,2,-2,263,187,-774,-161,3460,2117,-4968
1665258260945,2,-2,263,187,-774,-161,3460,2117,-4968
1665258260947,2,-3,264,188,-774,-163,3460,2117,-4968
1665258260947,2,-3,264,188,-774,-163,3499,2135,-4925
1665258260962,2,-3,264,188,-774,-164,3499,2135,-4925
1665258260963,2,-3,264,188,-774,-164,3499,2135,-4925
1665258260964,3,-3,264,188,-775,-167,3499,2135,-4925
1665258260983,3,-3,264,186,-773,-167,3499,2135,-4925
1665258260985,3,-3,264,186,-773,-167,3499,2135,-4925
1665258260985,1,-3,263,192,-779,-169,3499,2135,-4925
1665258260985,1,-3,263,192,-779,-169,3499,2135,-4925
1665258261007,1,-3,263,193,-777,-165,3499,2135,-4925
1665258261009,1,-3,263,193,-777,-165,3499,2135,-4925
1665258261009,3,-3,263,195,-778,-165,3499,2135,-4925
1665258261009,3,-3,263,195,-778,-165,3499,2135,-4925
1665258261024,3,-3,263,197,-776,-166,3499,2135,-4925
1665258261025,3,-3,263,197,-768,-165,3499,2135,-4925
1665258261025,2,-3,265,197,-768,-165,3499,2135,-4925
1665258261040,2,-3,265,219,-774,-174,3499,2135,-4925
1665258261041,2,-3,265,219,-774,-174,3499,2135,-4925
1665258261041,3,-3,264,215,-760,-171,3499,2135,-4925
1665258261056,3,-3,264,215,-760,-171,3438,2168,-4959
1665258261057,3,-3,264,221,-772,-173,3438,2168,-4959
1665258261057,3,-3,264,221,-772,-170,3438,2168,-4959
1665258261075,2,-1,263,205,-769,-170,3438,2168,-4959
1665258261076,2,-1,263,189,-771,-163,3438,2168,-4959
1665258261076,2,-1,263,189,-771,-163,3438,2168,-4959
1665258261078,2,-3,263,187,-775,-162,3438,2168,-4959
